Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta"
6;1;2;004;06;00;"Sub cuentas del Aux";"Comisiones a vendedores MOTOREPUESTOS TODO EN UNO"
6;1;2;004;06;01;"Sub cuentas de sub cuenta Aux";"COMAYAGUA 2 - ALL IN ONE"
6;1;2;004;06;02;"Sub cuentas de sub cuenta Aux";"KM COMAYAGUA 4 - ALL IN ONE"
6;1;2;004;06;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA #5"
6;1;2;004;06;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA #6"
6;1;2;004;06;05;"Sub cuentas de sub cuenta Aux";"Comayagua 7"
6;1;2;004;06;06;"Sub cuentas de sub cuenta Aux";"ALL IN ONE - CHOLUTECA"
6;1;2;004;06;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS SIGUATEPEQUE #1"
6;1;2;004;06;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS SAN LORENZO"
6;1;2;004;06;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA ESPERANZA #1"
6;1;2;004;06;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA ROSA"
6;1;2;004;06;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA BARBARA"
6;1;2;004;06;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TALANGA"
6;1;2;004;06;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS - AZACUALPA SANTA BARBARA"
6;1;2;004;06;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LAS VEGAS SANTA BARBARA"
6;1;2;004;06;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SIGUATEPEQUE #2"
6;1;2;004;06;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA ESPERANZA #2"
6;1;2;004;06;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS - CHOLUTECA 2"
6;1;2;004;06;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - CHOLUTECA 3"
6;1;2;004;06;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA ROSA COPAN #2"
6;1;2;004;06;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TAULABE"
6;1;2;004;06;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS - JESUS DE OTORO"
6;1;2;004;06;22;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SAN MARCOS"
6;1;2;004;06;23;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SIGUATEPEQUE #3"
6;1;2;004;06;24;"Sub cuentas de sub cuenta Aux";"KM MOTO - QUIMISTAN"
6;1;2;004;07;00;"Sub cuentas del Aux";"Comisiones a vendedores KM CARS"
6;1;2;004;07;01;"Sub cuentas de sub cuenta Aux";"KM MOTOS - COMAYAGUA #3"
6;1;2;004;07;02;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA CUESTA #1"
6;1;2;004;07;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA LIBERTAD"
6;1;2;004;07;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS - ENTRADA COPAN"
6;1;2;004;07;05;"Sub cuentas de sub cuenta Aux";"KM MOTOS GRACIAS LEMPIRA"
6;1;2;004;07;06;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MARCALA #1"
6;1;2;004;07;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS DANLI"
6;1;2;004;07;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS EL PARAISO"
6;1;2;004;07;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS PUERTO CORTES"
6;1;2;004;07;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS CHOLOMA"
6;1;2;004;07;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS - VILLANUEVA"
6;1;2;004;07;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA CEIBA"
6;1;2;004;07;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MARCALA 2"
6;1;2;004;07;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA ENTRADA #2"
6;1;2;004;07;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS - YORO, YORO"
6;1;2;004;07;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MORAZAN YORO"
6;1;2;004;07;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA CRUZ DE YOJOA"
6;1;2;004;07;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA CUESTA #2"
6;1;2;004;07;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TROJES"
6;1;2;004;07;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS SAN JUAN"
6;1;2;004;07;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS - DANLI 2"
6;1;2;004;07;22;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LEPAERA"
6;1;2;005;00;00;Auxiliar;"Seguro social"
6;1;2;006;00;00;Auxiliar;"Alquiler del Local"
6;1;2;006;07;00;"Sub cuentas del Aux";"Alquiler del Local KM motos"
6;1;2;006;07;01;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA"
6;1;2;006;07;02;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGÜELA"
6;1;2;006;07;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTICALPA"
6;1;2;006;07;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS CATACAMAS - OLANCHO"
6;1;2;006;07;05;"Sub cuentas de sub cuenta Aux";"KM MOTOS CATACAMAS 2"
6;1;2;006;07;06;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA PAZ"
6;1;2;006;07;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS GUALACO"
6;1;2;006;07;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS CULMI"
6;1;2;006;07;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS SPS #1"
6;1;2;006;07;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS SPS 2"
6;1;2;006;07;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTIAPA"
6;1;2;006;07;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TOROCAGUA"
6;1;2;006;07;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS TELA"
6;1;2;006;07;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS EL PROGRESO"
6;1;2;006;07;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS TOCOA"
6;1;2;006;07;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS PEÑA BLANCA"
6;1;2;006;07;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS SABA"
6;1;2;006;07;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - COUNTRY TEGUS"
6;1;2;006;07;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - EL PROGRESO 2"
6;1;2;006;07;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SPS 3"
6;1;2;006;07;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS JUTICALPA 2"
6;1;2;006;07;22;"Sub cuentas de sub cuenta Aux";SAC
6;1;2;006;08;00;"Sub cuentas del Aux";"Alquiler del Local MOTOREPUESTOS TODO EN UNO"
6;1;2;006;08;01;"Sub cuentas de sub cuenta Aux";"COMAYAGUA 2 - ALL IN ONE"
6;1;2;006;08;02;"Sub cuentas de sub cuenta Aux";"KM COMAYAGUA 4 - ALL IN ONE"
6;1;2;006;08;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA #5"
6;1;2;006;08;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS COMAYAGUA #6"
6;1;2;006;08;05;"Sub cuentas de sub cuenta Aux";"Comayagua 7"
6;1;2;006;08;06;"Sub cuentas de sub cuenta Aux";"ALL IN ONE - CHOLUTECA"
6;1;2;006;08;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS SIGUATEPEQUE #1"
6;1;2;006;08;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS SAN LORENZO"
6;1;2;006;08;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA ESPERANZA #1"
6;1;2;006;08;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA ROSA"
6;1;2;006;08;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA BARBARA"
6;1;2;006;08;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TALANGA"
6;1;2;006;08;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS - AZACUALPA SANTA BARBARA"
6;1;2;006;08;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LAS VEGAS SANTA BARBARA"
6;1;2;006;08;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SIGUATEPEQUE #2"
6;1;2;006;08;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA ESPERANZA #2"
6;1;2;006;08;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS - CHOLUTECA 2"
6;1;2;006;08;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - CHOLUTECA 3"
6;1;2;006;08;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA ROSA COPAN #2"
6;1;2;006;08;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TAULABE"
6;1;2;006;08;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS - JESUS DE OTORO"
6;1;2;006;08;22;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SAN MARCOS"
6;1;2;006;08;23;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SIGUATEPEQUE #3"
6;1;2;006;08;24;"Sub cuentas de sub cuenta Aux";"KM MOTO - QUIMISTAN"
6;1;2;006;09;00;"Sub cuentas del Aux";"Alquiler del Local KM CARS"
